scenario,time_s,T_in_C,T_wb_C,RH_in_percent,efficiency,V_air_m3s,T_out_C,RH_out_percent,m_air_kg_s,Q_kW,m_water_kg_s,cum_Q_kWh,cum_water_kg
Base_35C_RH40_Eta0.8_Flow10,0.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.026827,0.043
Base_35C_RH40_Eta0.8_Flow10,1.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.053653,0.086
Base_35C_RH40_Eta0.8_Flow10,2.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.080480,0.129
Base_35C_RH40_Eta0.8_Flow10,3.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.107307,0.173
Base_35C_RH40_Eta0.8_Flow10,4.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.134133,0.216
Base_35C_RH40_Eta0.8_Flow10,5.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.160960,0.259
Base_35C_RH40_Eta0.8_Flow10,6.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.187787,0.302
Base_35C_RH40_Eta0.8_Flow10,7.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.214613,0.345
Base_35C_RH40_Eta0.8_Flow10,8.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.241440,0.388
Base_35C_RH40_Eta0.8_Flow10,9.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.268267,0.432
Base_35C_RH40_Eta0.8_Flow10,10.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.295093,0.475
Base_35C_RH40_Eta0.8_Flow10,11.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.321920,0.518
Base_35C_RH40_Eta0.8_Flow10,12.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.348747,0.561
Base_35C_RH40_Eta0.8_Flow10,13.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.375573,0.604
Base_35C_RH40_Eta0.8_Flow10,14.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.402400,0.647
Base_35C_RH40_Eta0.8_Flow10,15.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.429227,0.691
Base_35C_RH40_Eta0.8_Flow10,16.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.456053,0.734
Base_35C_RH40_Eta0.8_Flow10,17.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.482880,0.777
Base_35C_RH40_Eta0.8_Flow10,18.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.509707,0.820
Base_35C_RH40_Eta0.8_Flow10,19.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.536533,0.863
Base_35C_RH40_Eta0.8_Flow10,20.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.563360,0.906
Base_35C_RH40_Eta0.8_Flow10,21.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.590187,0.950
Base_35C_RH40_Eta0.8_Flow10,22.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.617013,0.993
Base_35C_RH40_Eta0.8_Flow10,23.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.643840,1.036
Base_35C_RH40_Eta0.8_Flow10,24.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.670667,1.079
Base_35C_RH40_Eta0.8_Flow10,25.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.697493,1.122
Base_35C_RH40_Eta0.8_Flow10,26.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.724320,1.165
Base_35C_RH40_Eta0.8_Flow10,27.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.751147,1.208
Base_35C_RH40_Eta0.8_Flow10,28.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.777973,1.252
Base_35C_RH40_Eta0.8_Flow10,29.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.804800,1.295
Base_35C_RH40_Eta0.8_Flow10,30.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.831627,1.338
Base_35C_RH40_Eta0.8_Flow10,31.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.858453,1.381
Base_35C_RH40_Eta0.8_Flow10,32.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.885280,1.424
Base_35C_RH40_Eta0.8_Flow10,33.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.912107,1.467
Base_35C_RH40_Eta0.8_Flow10,34.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.938933,1.511
Base_35C_RH40_Eta0.8_Flow10,35.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.965760,1.554
Base_35C_RH40_Eta0.8_Flow10,36.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,0.992587,1.597
Base_35C_RH40_Eta0.8_Flow10,37.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.019413,1.640
Base_35C_RH40_Eta0.8_Flow10,38.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.046240,1.683
Base_35C_RH40_Eta0.8_Flow10,39.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.073067,1.726
Base_35C_RH40_Eta0.8_Flow10,40.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.099893,1.770
Base_35C_RH40_Eta0.8_Flow10,41.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.126720,1.813
Base_35C_RH40_Eta0.8_Flow10,42.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.153547,1.856
Base_35C_RH40_Eta0.8_Flow10,43.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.180373,1.899
Base_35C_RH40_Eta0.8_Flow10,44.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.207200,1.942
Base_35C_RH40_Eta0.8_Flow10,45.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.234027,1.985
Base_35C_RH40_Eta0.8_Flow10,46.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.260853,2.029
Base_35C_RH40_Eta0.8_Flow10,47.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.287680,2.072
Base_35C_RH40_Eta0.8_Flow10,48.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.314507,2.115
Base_35C_RH40_Eta0.8_Flow10,49.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.341333,2.158
Base_35C_RH40_Eta0.8_Flow10,50.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.368160,2.201
Base_35C_RH40_Eta0.8_Flow10,51.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.394987,2.244
Base_35C_RH40_Eta0.8_Flow10,52.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.421813,2.287
Base_35C_RH40_Eta0.8_Flow10,53.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.448640,2.331
Base_35C_RH40_Eta0.8_Flow10,54.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.475467,2.374
Base_35C_RH40_Eta0.8_Flow10,55.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.502293,2.417
Base_35C_RH40_Eta0.8_Flow10,56.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.529120,2.460
Base_35C_RH40_Eta0.8_Flow10,57.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.555947,2.503
Base_35C_RH40_Eta0.8_Flow10,58.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.582773,2.546
Base_35C_RH40_Eta0.8_Flow10,59.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.609600,2.590
Base_35C_RH40_Eta0.8_Flow10,60.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.636427,2.633
Base_35C_RH40_Eta0.8_Flow10,61.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.663253,2.676
Base_35C_RH40_Eta0.8_Flow10,62.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.690080,2.719
Base_35C_RH40_Eta0.8_Flow10,63.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.716907,2.762
Base_35C_RH40_Eta0.8_Flow10,64.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.743733,2.805
Base_35C_RH40_Eta0.8_Flow10,65.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.770560,2.849
Base_35C_RH40_Eta0.8_Flow10,66.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.797387,2.892
Base_35C_RH40_Eta0.8_Flow10,67.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.824213,2.935
Base_35C_RH40_Eta0.8_Flow10,68.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.851040,2.978
Base_35C_RH40_Eta0.8_Flow10,69.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.877867,3.021
Base_35C_RH40_Eta0.8_Flow10,70.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.904693,3.064
Base_35C_RH40_Eta0.8_Flow10,71.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.931520,3.108
Base_35C_RH40_Eta0.8_Flow10,72.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.958347,3.151
Base_35C_RH40_Eta0.8_Flow10,73.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,1.985173,3.194
Base_35C_RH40_Eta0.8_Flow10,74.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.012000,3.237
Base_35C_RH40_Eta0.8_Flow10,75.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.038827,3.280
Base_35C_RH40_Eta0.8_Flow10,76.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.065653,3.323
Base_35C_RH40_Eta0.8_Flow10,77.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.092480,3.366
Base_35C_RH40_Eta0.8_Flow10,78.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.119307,3.410
Base_35C_RH40_Eta0.8_Flow10,79.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.146133,3.453
Base_35C_RH40_Eta0.8_Flow10,80.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.172960,3.496
Base_35C_RH40_Eta0.8_Flow10,81.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.199787,3.539
Base_35C_RH40_Eta0.8_Flow10,82.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.226613,3.582
Base_35C_RH40_Eta0.8_Flow10,83.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.253440,3.625
Base_35C_RH40_Eta0.8_Flow10,84.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.280267,3.669
Base_35C_RH40_Eta0.8_Flow10,85.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.307093,3.712
Base_35C_RH40_Eta0.8_Flow10,86.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.333920,3.755
Base_35C_RH40_Eta0.8_Flow10,87.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.360747,3.798
Base_35C_RH40_Eta0.8_Flow10,88.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.387573,3.841
Base_35C_RH40_Eta0.8_Flow10,89.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.414400,3.884
Base_35C_RH40_Eta0.8_Flow10,90.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.441227,3.928
Base_35C_RH40_Eta0.8_Flow10,91.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.468053,3.971
Base_35C_RH40_Eta0.8_Flow10,92.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.494880,4.014
Base_35C_RH40_Eta0.8_Flow10,93.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.521707,4.057
Base_35C_RH40_Eta0.8_Flow10,94.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.548533,4.100
Base_35C_RH40_Eta0.8_Flow10,95.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.575360,4.143
Base_35C_RH40_Eta0.8_Flow10,96.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.602187,4.187
Base_35C_RH40_Eta0.8_Flow10,97.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.629013,4.230
Base_35C_RH40_Eta0.8_Flow10,98.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.655840,4.273
Base_35C_RH40_Eta0.8_Flow10,99.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.682667,4.316
Base_35C_RH40_Eta0.8_Flow10,100.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.709493,4.359
Base_35C_RH40_Eta0.8_Flow10,101.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.736320,4.402
Base_35C_RH40_Eta0.8_Flow10,102.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.763147,4.445
Base_35C_RH40_Eta0.8_Flow10,103.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.789973,4.489
Base_35C_RH40_Eta0.8_Flow10,104.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.816800,4.532
Base_35C_RH40_Eta0.8_Flow10,105.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.843627,4.575
Base_35C_RH40_Eta0.8_Flow10,106.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.870453,4.618
Base_35C_RH40_Eta0.8_Flow10,107.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.897280,4.661
Base_35C_RH40_Eta0.8_Flow10,108.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.924107,4.704
Base_35C_RH40_Eta0.8_Flow10,109.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.950933,4.748
Base_35C_RH40_Eta0.8_Flow10,110.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,2.977760,4.791
Base_35C_RH40_Eta0.8_Flow10,111.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.004587,4.834
Base_35C_RH40_Eta0.8_Flow10,112.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.031413,4.877
Base_35C_RH40_Eta0.8_Flow10,113.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.058240,4.920
Base_35C_RH40_Eta0.8_Flow10,114.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.085067,4.963
Base_35C_RH40_Eta0.8_Flow10,115.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.111893,5.007
Base_35C_RH40_Eta0.8_Flow10,116.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.138720,5.050
Base_35C_RH40_Eta0.8_Flow10,117.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.165547,5.093
Base_35C_RH40_Eta0.8_Flow10,118.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.192373,5.136
Base_35C_RH40_Eta0.8_Flow10,119.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.219200,5.179
Base_35C_RH40_Eta0.8_Flow10,120.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.246027,5.222
Base_35C_RH40_Eta0.8_Flow10,121.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.272853,5.266
Base_35C_RH40_Eta0.8_Flow10,122.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.299680,5.309
Base_35C_RH40_Eta0.8_Flow10,123.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.326507,5.352
Base_35C_RH40_Eta0.8_Flow10,124.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.353333,5.395
Base_35C_RH40_Eta0.8_Flow10,125.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.380160,5.438
Base_35C_RH40_Eta0.8_Flow10,126.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.406987,5.481
Base_35C_RH40_Eta0.8_Flow10,127.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.433813,5.524
Base_35C_RH40_Eta0.8_Flow10,128.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.460640,5.568
Base_35C_RH40_Eta0.8_Flow10,129.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.487467,5.611
Base_35C_RH40_Eta0.8_Flow10,130.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.514293,5.654
Base_35C_RH40_Eta0.8_Flow10,131.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.541120,5.697
Base_35C_RH40_Eta0.8_Flow10,132.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.567947,5.740
Base_35C_RH40_Eta0.8_Flow10,133.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.594773,5.783
Base_35C_RH40_Eta0.8_Flow10,134.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.621600,5.827
Base_35C_RH40_Eta0.8_Flow10,135.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.648427,5.870
Base_35C_RH40_Eta0.8_Flow10,136.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.675253,5.913
Base_35C_RH40_Eta0.8_Flow10,137.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.702080,5.956
Base_35C_RH40_Eta0.8_Flow10,138.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.728907,5.999
Base_35C_RH40_Eta0.8_Flow10,139.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.755733,6.042
Base_35C_RH40_Eta0.8_Flow10,140.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.782560,6.086
Base_35C_RH40_Eta0.8_Flow10,141.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.809387,6.129
Base_35C_RH40_Eta0.8_Flow10,142.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.836213,6.172
Base_35C_RH40_Eta0.8_Flow10,143.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.863040,6.215
Base_35C_RH40_Eta0.8_Flow10,144.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.889867,6.258
Base_35C_RH40_Eta0.8_Flow10,145.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.916693,6.301
Base_35C_RH40_Eta0.8_Flow10,146.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.943520,6.345
Base_35C_RH40_Eta0.8_Flow10,147.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.970347,6.388
Base_35C_RH40_Eta0.8_Flow10,148.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,3.997173,6.431
Base_35C_RH40_Eta0.8_Flow10,149.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.024000,6.474
Base_35C_RH40_Eta0.8_Flow10,150.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.050827,6.517
Base_35C_RH40_Eta0.8_Flow10,151.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.077653,6.560
Base_35C_RH40_Eta0.8_Flow10,152.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.104480,6.603
Base_35C_RH40_Eta0.8_Flow10,153.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.131307,6.647
Base_35C_RH40_Eta0.8_Flow10,154.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.158133,6.690
Base_35C_RH40_Eta0.8_Flow10,155.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.184960,6.733
Base_35C_RH40_Eta0.8_Flow10,156.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.211787,6.776
Base_35C_RH40_Eta0.8_Flow10,157.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.238613,6.819
Base_35C_RH40_Eta0.8_Flow10,158.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.265440,6.862
Base_35C_RH40_Eta0.8_Flow10,159.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.292267,6.906
Base_35C_RH40_Eta0.8_Flow10,160.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.319093,6.949
Base_35C_RH40_Eta0.8_Flow10,161.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.345920,6.992
Base_35C_RH40_Eta0.8_Flow10,162.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.372747,7.035
Base_35C_RH40_Eta0.8_Flow10,163.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.399573,7.078
Base_35C_RH40_Eta0.8_Flow10,164.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.426400,7.121
Base_35C_RH40_Eta0.8_Flow10,165.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.453227,7.165
Base_35C_RH40_Eta0.8_Flow10,166.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.480053,7.208
Base_35C_RH40_Eta0.8_Flow10,167.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.506880,7.251
Base_35C_RH40_Eta0.8_Flow10,168.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.533707,7.294
Base_35C_RH40_Eta0.8_Flow10,169.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.560533,7.337
Base_35C_RH40_Eta0.8_Flow10,170.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.587360,7.380
Base_35C_RH40_Eta0.8_Flow10,171.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.614187,7.424
Base_35C_RH40_Eta0.8_Flow10,172.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.641013,7.467
Base_35C_RH40_Eta0.8_Flow10,173.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.667840,7.510
Base_35C_RH40_Eta0.8_Flow10,174.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.694667,7.553
Base_35C_RH40_Eta0.8_Flow10,175.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.721493,7.596
Base_35C_RH40_Eta0.8_Flow10,176.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.748320,7.639
Base_35C_RH40_Eta0.8_Flow10,177.00,35.000,25.000,40.00,0.800,10.000,27.000,88.00,12.0000,96.5760,0.0427,4.775147,7.682
